Frank Dai;soulmachine;Mountain View, CA
Viktor Jacynycz;Jacynycz;Madrid
Abhijit Roy;abhi3700;Chandigarh, India
Dong-Ok Peter Ryu;popldo;Unknown
Tim van de Vathorst;Timvdv;Netherlands
Christian Barrios;christiandbf;Cartagena, Colombia.
Mustafa Talha Arslan;mtarslann;Unknown
Jeff Zito;JZito;New York, NY
Manoj;manojpramesh;India
Shawn Zhang;hustshawn;Hong Kong
Marouene;MarwennChb;Paris
Henry;Riib11;Reed College
Denis Oyaro;Denis-Oyaro;Unknown
Farhan Khwaja;farhankhwaja;Los Angeles
Raul San Narciso Holguera;raulsann;Boulder, CO
John Anthony Radosta;JohnAntonusMaximus;Fort Lauderdale, FL
Alex Stuart;alxstuart;Nottingham
Michael Herman (Toronto);mwherman2000;Toronto, Ontario, Canada
Adrian Barwicki;adrianbarwicki;Heidelberg, Germany
John O. Morales-Marquez;ScooterHelmet;Alabama
Jeet Raut;jeetraut;United States
Leandro Freitas;leandrodavimg;Brasil
Linx;linX-project;UK
Aliaksei Hiatsevich;ahiatsevich;Unknown
Jérémy SEBAN;MechanicalSloth;Tours, France
Bresson;Clement-Bresson;London
Thomas Schouten;thomelsch;Berlin, Germany
Philip Peinsold;ByteHeroes;Vienna
Michael Monte;michaeljmonte;Unknown
CHERR.IO Platform;CherrioPlatform;Maribor, Slovenia
Artis Turba;ArtisTurba;South Africa
Unknown;Blockchain-CN;
ArthurTao;tyhtao1990;Unknown
Andy li;sportshark;beijing
Li Smith;baidang201;ShenZhen
bingoer;bingoer;beijing,china
Ramakanth Giri;Rkdroid;Dubai
María Teresa Nieto Galán;mtnieto;Madrid
Fenglian Xu;fenglianxu;UK
Alex Murashkin;alex-murashkin;Unknown
Toshendra Sharma;toshendra;Mumbai
Igor Frolov;IgorFrolov;Kaliningrad
Siva Ragavan;sivahq;Boston, MA
oneai;deepyug;London
Mohammed Rashid;mohdrashid;Unknown
Luis F. Escobar-Driver;LEscobar-Driver;Unknown
guoyibin;gyb997;beijing china
Wesley Cheung;wmcheung;Rijswijk, Netherlands
Manish Kumar;man15h;0xa40eb8594acb35f5
Harsh Arya;harshaa947;New Delhi , India
Alex Yalunin;alexyalunin;Moscow, Russia
Erhard Dinhobl;mrqc;Austria, Vienna
Sid Masih;SidMasih;Berkeley, CA
terence tsao;terenc3t;san francisco
Yannick Visbeek;yvisbeek;Amsterdam
Kirill Varlamov;ongrid;Moscow, Russia
Jan Azzati;protyze;Zürich
Lijun Huang;peoplehlj;Beijing
Zane Starr;zcstarr;Unknown
Ronald Pijpers;rpijpers;Netherlands
Mircea Moca, PhD;mocamircea;LYON, FRANCE
Subho;iamSubhoK;Pune
Bijan Massoumi;Bijan-Massoumi;Silicon Valley
Valentin;linouxis9;Unknown
Maurice Dalderup;DalderupMaurice;België
Roman;TPABHuKOB;St.Petersburg, Russia
Anand Soni;Anandsoni14;Kolkata
Zach Alam;zachalam;Las Vegas, Nevada
Shubham Singh;imshubhamsingh;New Delhi, India
Marcus Hsu;kiddkevin00;New York
Jordan Lyall;jordanlyall;Los Angeles, CA
Xavi Arias Seguí;xaviarias;London, UK
Diego Rodrigues;polaroidz;São Paulo, Brazil
Michael Ogezi;okibeogezi;Jos
Jack;jackjdl;St Andrews, Scotland
Arsen Darakdjian;arsend;Los Angeles, CA
michael kontogiannis;mkontogiannis;{cph, bln, edi}
Uwe Cerron;uwecerron;Miami
Tom Magnusson;tommagnusson;Poughkeepsie, NY
Amin Torres;amintorres;nyc
Rafiudeen Chozhan Kumarasamy;RafiAlhamd;Dubai, UAE.
Unknown;truegame;Unknown
Bryan Rosenau;beastybryan;Denver, CO
Ethan Horoschak;ethanhoroschak;Unknown
Robin K Wilson;robin-k-wilson;California
He Ye;smartheye;Shanghai
Matthias;fasmat;Munich, Germany
Hui Chen;wisehead;Beijing
LindaIlonze;linda-ilonze;Unknown
Stuart Hunter;stuarth1;Toronto ON
Ivan Rukhavets;vanruch;Unknown
Bitcoin Error Log;BitcoinErrorLog;Earth
Block And Decker;micahaza;Malta
Jordan;JordanDworaczyk;USA
Rico Chen;ricochen;San Francisco
Rhys Lindmark;RhysLindmark;United States
Unknown;CarlosDutra;São Paulo, Brazil
Adil Aziz;adilj13;Lahore, Pakistan
Sergi Canal;shierve;Barcelona
Russell Rosario;rosariorussell;Miami, FL
Devvrat Shukla;devvratio;Mumbai, India
Arsalan Khalid;arsalankhalid;Toronto, Ontario
Dylan Frendo;ferendo;Malta
Javier Rojas;fjrojasgarcia;Unknown
Unknown;escursionista;Unknown
Boldachev Alexander;AleDvin;Unknown
Jaycen Horton;jaycenhorton;Arizona
Johannes;JohannesBertens;Rotterdam
Andrew Xu;andrewxu10;San Francisco
Bernard Lin;pblin;NYC
Guilherme Flores dos Santos;guisantos;São Paulo, Brazil
Unknown;BScrk;Unknown
Terry Palomares;terrypalo;Unknown
Liam Aharon;liamaharon;Melbourne, Australia
ArkadioG;ArkadioG;Gdansk, Poland
LeYuwei;leyuwei;Nanking, Jiangsu Prov.
Nicholas;tekknikk;Sydney
Aneil Mallavarapu;aneilbaboo;San Francisco, CA
Naoto;starcharles;Japan
reneX;renexdev;Argentina
Nitin Shukla;Shukl;New Delhi
Mike Sutherland;sfkiwi;Palo Alto
christian;cjeria;San Francisco
Ilmer Oliveira;IlmerO;Belo Horizonte - MG
Graham Perich;grahamperich;San Diego, CA
Sergey;sergey-koba-mobidev;Kharkov, Ukraine
Amol Pednekar;amolpednekar;Goa, India
Mosam Gor;mosamlife;India
Walid Al-Saqaf;wsaqaf;Sweden
Sergio del Rio;sdelrio0;Mexico
D_Pain;DPain;Wilmington
Olivier Lépine;crapougnax;Avignon & Paris
Márcio Porto;MarcioPorto;Denver, CO
Kwun Yeung;kwunyeung;Hong Kong
Cooper Kernan;cooperkernan;Boulder, Colorado
Jesse Busman;JesseBusman;Fryslân, The Netherlands
Rishabh Thaney;Rishabh42;Unknown
Burak Bayır;kriptoburak;Turkey
Denis Kaiser;DenisKaizer;Moscow
Dorian S.;dsmrs;Brussels/Lille
Dwight Ford;dwightford;Berkeley Ca
Unknown;covertress;Unknown
Thomas BRILLARD;CremaFR;France
Yang Zhao;yzhao12;Los Angeles, CA
Charles R Douthat;ReidDecentral;Planet Earth
Alejandro Gómez de la Cruz;agomezdelacruz;Unknown
Unknown;SwftCoins;1601 McCarthy Blvd, Milpitas, CA 95035, US
amchart;amchart;Austin, Texas
Fabrice Distefano;Sphearis;Belgium
WillAchain;WillAchain;BJ
seetharaman gr;grsind19;Chennai
Felix Watkins;OperationNine;Unknown
Nazzareno Massari;naszam;London, UK
Setu;setusaurabh;Unknown
Arnav Vohra;arnavvohra;India
Jeroen Merks;JeroenMerks;Netherlands, the
Wepesa;WePesa;Blockchain
Shivam Maloo;Kakashi08;Unknown
Albert;0xfff;Canada
stdo;stdoo;Guangzhou, China
Urko Larrañaga Piedra;Jymmbo;Lekeitio, Bizkaia, Spain
Dapao Xie;btcioner;Tianjin.China
Ian Costanzo;ianco;Vancouver
Robert Olson;masterrco;Seattle, WA
Ji Yuan;jiyuan;Beijing, China
Jayanath Kumara;wajayanath;Unknown
Matthew P. Schmidt;Smithgift;Martins Ferry, OH
Adirson Allen;acriacao;são paulo - são paulo - brasil
Ivan Borisov;PillarDevelopment;Russia
feng lee;87260280;Beijing,China
Lakshman Sankar;lsankar4033;Unknown
Vitor Quaresma;vitorqshr;Unknown
Anshuman Singh;anshuman-singh-93;bangalore
Nenad Radovanovic;nesaplay;Belgrade, Serbia
Rerngrit Rakkanittakorn;rerngrit;Unknown
Charming_vi;zjuzcy;Unknown
Bryan;bitsanity;Pacific Northwest
AqeelKazmi;AqeelKazmi;Pakistan
Pavel Brilliant;pavelbrilliant;Ukraine
Gonzalo Linares Amezcua;escreativa;Granada - Spain
fullStackChris;frewinchristopher;Feldkirch, Austria
Qingliao Wu;qingliaowu;Unknown
Flashnet Tech, Inc.;superflashcoin;Montreal, Canada
Daniil Larionov;Rexhaif;Russia
Mantas Rukuiža;rukuiza;Lithuania
Florian Maxim;florianmaxim;Berlin / Space
JASMEET SINGH BAGGA;Jasmeet1709;DELHI
Bernardo Costa;bcosta12;Unknown
Biser Dimitrov;biserd;New York
Peet Denny;peetdenny;Windsor
Distributed Application Ledger（DAppLedger）;cbdforum-dappledger;Beijing China
Samuel Brooks;ramboze;Sydney, Australia
Sentient;apollygon;London, England
Thomas Strohmeier;tstrohmeier;Graz
Elier Delgado;elier;Montreal
Nikita Kunevich;nikitaKunevich;Minsk, Belarus
Unknown;TarekJor;Nowhere, somewhere and everywhere
Shiv Haris;shivharis;Palo Alto, CA
Víctor Adolfo Mars Mindiola;Yayotron;Poland
Merve Cerit;mmervecerit;Unknown
John White;cyon1c;USA
Kevin Leffew;kleffew94;Arlington, VA
Barnabé Monnot;barnabemonnot;Singapore
Unknown;ALawliet;Unknown
Jacob Thomason;oojacoboo;Georgia, USA
Mads Gram;PhDuck;Copenhagen, Denmark
James Cori;rootelement;Hartford, CT
Pratik Parmar;HackyRoot;India
Gabriel Bentara Raphael;yukinotenshi;Bandung, Indonesia
Mridhul Bhambri;Mridhul40;Dehradun
Antonio Rossi;tonio155;London
Antoine Rondelet;AntoineRondelet;Unknown
Mark Barraquias;nandarionndr1;Unknown
Anthony;Mandelliant;Jersey City, NJ
Ramene Anthony;jadedgeek;Blockchain
Joshua Bell;joshuabell;San Francisco
Turtle Kim;turtle2go;Seoul, Korea
Georgios Paralykidis;BrainArchitect;Stockholm, Sweden
oceanscanner;webdev312;Unknown
John Hart;autopulous;Pennsylvania
Unknown;fernantho;Unknown
Emanuil Mihaylov;emanuiler;Bulgaria
Sixte de Maupeou;sixtedemaupeou;London
Panoplos;Panoplos;Unknown
Robin Ebers;devboxr;://digital/nomad
Jeremiah Tucker;thepunctuatedhorizon;Baltimore, MD
Kyle Langworthy;w0rthyw0rks;NYC
Dimos Botsaris;eldimious;Thessaloniki-Greece
Alvin Xu;alvinzxu;Toronto, ON
Chad Bennett;chadbennett;Utah
Frantic Web;frantic-web;Athens, Greece
Aleksey Stukarchuk;liketux;Saint-Petersburg
Project Districts;BlockchainTechLLC;UAE
Saturnrem Android;Briechenstein12;dragonchain dragonchain
Unknown;blockchain101;Unknown
Quartz;QuartzBlockchain;Unknown
Unknown;Blockchainpartner;Unknown
Lab;BlockchainLabEOS;Dorohozhytska St, 1, Kyiv, 02000
Policy;blockchainpolicy;Unknown
DATA;BlockchainDATA;Sunnyvale, CA
Technology Malaysia;BlockchainTechnologyMalaysia;Unknown
WangMingming;Vivid-Wang;Beijing
Unknown;ScottWorks;USA
sunnypickle;yusun;Unknown
John Chang;JohnChangUK;Unknown
John Kozan;johnkozan;Regina, SK, Canada
Jake Tarnow;jaketarnow;San Francisco, CA
Georgios Konstantopoulos;gakonst;Thessaloniki, Greece
Anibal;anaibol;Everywhere (remote)
Simon Stone;sstone1;Southampton, UK
Devon Wesley;devonwesley;Oakland, CA
Ava Howell;avahowell;San Francisco
Zealic;zealic;Unknown
Alexander Schmidt;Bloggerschmidt;Frankfurt, Germany
C.A.Lee;calee0219;Taiwan
Rachel Ralston;rachel-ftw;Oakland, CA
KK Chen;bichenkk;Hong Kong
Grégory Saive;evias;Belgium
Frederic Fortier;fredfortier;United States
Jose Luis Estevez;jestevez;Caracas - Venezuela
Irvin Steve Cardenas;kPatch;Unknown
Originate;originated;Los Angeles
Abderraouf Adjal;abderraouf-adjal;Algeria
Daniel;interrogator;Vienna, Austria
Kimi Sian-Yu Chen;kimisan;Taipei
Mackenzie Craig;tehp;Vancouver, Canada
Peili Liang;liangpeili;Beijing
Vít Stanislav;slaweet;Berlin, Germany
Jamil;jamilbk;San Francisco, CA
John Kuo;johnhckuo;Taiwan
Melissa Schwartz;melissjs;Los Angeles
Clément Lesaege;clesaege;Unknown
Andrey Andreev;andyceo;Moscow
Blockchains;Blockchains;London
Maxi Dev;maxidev;Argentina
Carlos Buendía;buendiadas;Madrid
Mohammad Bilal;furusiyya;Islamabad, Pakistan
Pieterjan Vanhoof;dev0tion;Belgium
Georgi Georgiev;traviagio;London, UK
Thomas Vanderstraeten;thomasvds;Brussels, Belgium
Alok Rajiv;alokrajiv;SEA (prev. MENA, South Asia)
Sethu Iyer;sethuiyer;Unknown
Dmytro Zarezenko;dzarezenko;Vinnitsa, Ukraine
Bernhard Wenzel;BernhardWenzel;London, UK
Matthias Tarasiewicz;parasew;Vienna, Austria
WhiteNoise;davidqw;Beijing
Jorge Mendoza;jorgevmendoza;caracas, venezuela
Shanthakumar;5hanth;Remote
Slavoljub Popovic;slavo7;Miami
Unknown;lafenicecc;Unknown
Steve Degosserie;stiiifff;Belgium
Danny Ryan;djrtwo;New Orleans
BlockCDN;Blockcdnteam;HONGKONG
Shuichi Nagao;ngo275;Tokyo
gina contrino;ginacontrino;Berlin
Zubair Ahmed;zubairnahmed;Oakland, California.
Matthias Klees;szenekonzept;Bochum, Germany
Aron van Ammers;AronVanAmmers;Amsterdam
Andrey Zolin;Hirama;Innopolis
Josh Richardson;josh-richardson;London
Jackie Meng;mengjiaqi;Beijing, China
Leandro Reinaux;leoreinaux;Recife, PE, BR
Unknown;adshao;Unknown
Destry Saul;destrys;Tucson, AZ
Neil Schultz-Cox;NeilTCox;Newport Beach, CA
Unknown;marcpre;Vienna
Unknown;konez2k;Unknown
Grégoire Jeanmart;gjeanmart;London
World Mobile Coin;WorldMobileCoin;Unknown
Anuj Upadhyay;anuj97;Jabalpur, India
Djordje Mijatović;djm-im;Belgrade, Serbia
Li Linyu;proper;London, UK
Mankirat Singh;manki11;New Delhi
Iulian Rotaru;mortimr;France
Hiroshi Shimo;hshimo;Tokyo, Japan
Kyle Aquino;kyleaquino;Bacood, Sta. Mesa, Manila, Metro Manila
Juanjo Chust;Nytyr;Spain
Fringer;arjunmsh;Gurgaon
Shohei Ohsawa;Ohsaworks;Bunkyo, Tokyo
Robert-Reinder Nederhoed;nederhoed;The Hague, NL
IndrajitSinh Rayjada;indrajitsinh;Gandhinagar India
Armen Juhl;armenjuhl;Portland, OR
Abdul Wahab;wahabjawed;Karachi, Pakistan
JSChain;jschain;Unknown
Jim Anastassiou;snowy13;Montreal
Artem Rukavytsia;arukavytsia;Ukraine, Kharkiv
Jonas Snellinckx;Superjo149;Unknown
Elmer Morales;elmerm;Irvine, CA
Steve Floyd;stevefloyd;Dallas, TX
Lorne Lantz;Lornestar;Unknown
Gueorgui AGAPOV;7s4r;Paris, France
TEMPO MONEY TRANSFER;tempofr;Paris
ARTAX;Artax-Project;Unknown
Unknown;MikeD123;San Francisco, California
Ronak Rathi;ronakrms;Gurgaon, Haryana
Sergi Fernandez;foxtrading;Unknown
Griffin Anderson;andergri;Unknown
PDX;PDXbaap;San Jose, CA U.S.A. & Beijing, China
Abjcoin;abjcoinblockchain;Nigeria
Chanlone;shadowkael;Shang Hai .P.R.China
Chris BlockZombie;blockzombie;Australia
Ludim Chávez Estévez;Do0k13;Tampico Mx
Kadek Sudiartha;sudiarth;Denpasar, Bali
SunZhiming;haiheipijuan;Beijing
Unknown;giou-k;Europe, Earth
Naruby Riverlione;NarubyRiverlione;Belgium
Ben Park;BumwooPark;yong-in/korea
Kannan Ravindran;Kannanravindran;Phoenix, Arizona
Claudiu Tanasescu;tclauss;Santander
Zalak Shah;zalak13;Boston
Unknown;theobat;France, Marseille
Andreas Bogner;UnSciPreneur;Munich
Vishal Sharma;vs9390;Unknown
Ricardo Di Zio;ricdizio;Caracas - Venezuela
Jitendra Chittoda;jchittoda;Unknown
futureweb;StarNeit;Unknown
Jai Nanavati;nanajai;Unknown
Tao Wan;sikamedia;Stockholm
Sarthak Tripathi;Vehemos;India
Unknown;laisee;Singapore
Anthony Law;AnthonyLaw;Malaysia
Mike Gnanakone;LAMike310;Los Angeles
Sam Stone;samuel-stone;San Francisco
Verasity;verasitytech;Unknown
CP;iamsupercp;Unknown
Hasan Özaynaci;Ozaynaci;Netherlands
Federico Franzoni;frz-dev;Unknown
